Date,High,Low,Open,Close,Volume,Adj Close
2008-01-02,28.608572006225586,27.507143020629883,28.46714210510254,27.834285736083984,269794700,18.488786697387695
2008-01-03,28.198572158813477,27.527143478393555,27.915714263916016,27.847143173217773,210516600,18.49732780456543
2008-01-04,27.571428298950195,25.555713653564453,27.350000381469727,25.72142791748047,363958000,17.0853328704834
2008-01-07,26.22857093811035,24.318571090698242,25.89285659790039,25.37714195251465,518048300,16.856643676757812
2008-01-08,26.06571388244629,24.399999618530273,25.734285354614258,24.464284896850586,380954000,16.25027847290039
2008-01-09,25.64285659790039,24.042856216430664,24.47142791748047,25.628570556640625,453470500,17.023653030395508
2008-01-10,25.85714340209961,25.058570861816406,25.368572235107422,25.431428909301758,370743800,16.89269256591797
2008-01-11,25.407142639160156,24.285715103149414,25.14285659790039,24.670000076293945,308071400,16.38692855834961
2008-01-14,25.631427764892578,25.0242862701416,25.360000610351562,25.540000915527344,275112600,16.964813232421875
2008-01-15,25.60285758972168,23.522857666015625,25.38857078552246,24.148571014404297,585819500,16.040569305419922
2008-01-16,24.144285202026367,22.385713577270508,23.604286193847656,22.805713653564453,553461300,15.148580551147461
2008-01-17,23.62285804748535,22.631427764892578,23.072856903076172,22.984285354614258,439464900,15.267193794250488
2008-01-18,23.678571701049805,22.801427841186523,23.101428985595703,23.051427841186523,431085900,15.311790466308594
2008-01-22,22.854286193847656,20.85714340209961,21.15142822265625,22.234285354614258,608688500,14.769014358520508
2008-01-23,20.0,18.020000457763672,19.45571517944336,19.867143630981445,843242400,13.19665241241455
2008-01-24,20.100000381469727,18.858572006225586,19.998571395874023,19.371429443359375,501466700,12.867375373840332
2008-01-25,19.8700008392334,18.515714645385742,19.855714797973633,18.572856903076172,388684800,12.336928367614746
2008-01-28,19.02857208251953,18.064285278320312,18.308570861816406,18.572856903076172,368711000,12.336928367614746
2008-01-29,18.969999313354492,18.435714721679688,18.735713958740234,18.79142951965332,274995700,12.482111930847168
2008-01-30,19.350000381469727,18.571428298950195,18.76714324951172,18.882856369018555,310762900,12.542841911315918
2008-01-31,19.52142906188965,18.485713958740234,18.492856979370117,19.337142944335938,336418600,12.844600677490234
2008-02-01,19.51285743713379,18.882856369018555,19.46285629272461,19.10714340209961,252686000,12.69182300567627
2008-02-04,19.41428565979004,18.7742862701416,19.1728572845459,18.80714225769043,224808500,12.49255084991455
2008-02-05,19.14285659790039,18.41428565979004,18.632856369018555,18.479999542236328,285260500,12.275249481201172
2008-02-06,18.845714569091797,17.395713806152344,18.690000534057617,17.428571701049805,393318100,11.57684326171875
2008-02-07,17.825714111328125,16.752857208251953,17.13857078552246,17.31999969482422,520832900,11.504725456237793
2008-02-08,17.957143783569336,17.371429443359375,17.440000534057617,17.92571449279785,338993200,11.907066345214844
2008-02-11,18.568571090698242,18.171428680419922,18.28714370727539,18.492856979370117,300358100,12.283785820007324
2008-02-12,18.714284896850586,17.65999984741211,18.671428680419922,17.837142944335938,306495000,11.848234176635742
2008-02-13,18.540000915527344,17.9471435546875,18.097143173217773,18.485713958740234,242133500,12.279043197631836
2008-02-14,18.685714721679688,18.144285202026367,18.485713958740234,18.20857048034668,238524300,12.094953536987305
